length,event,tolerance_points_default,shift_min_persistence_default,tp_default,fp_default,fn_default,tn_default,start_precision_default,start_recall_default,start_f1_default,start_specificity_default,start_balanced_accuracy_default,mean_abs_start_error_default,dataset,setting_default,point_anomaly_threshold_default,collective_anomaly_threshold_default,tolerance_points_tuned,shift_min_persistence_tuned,tp_tuned,fp_tuned,fn_tuned,tn_tuned,start_precision_tuned,start_recall_tuned,start_f1_tuned,start_specificity_tuned,start_balanced_accuracy_tuned,mean_abs_start_error_tuned,setting_tuned,point_anomaly_threshold_tuned,collective_anomaly_threshold_tuned,tolerance_points_change,shift_min_persistence_change,tp_change,fp_change,fn_change,tn_change,start_precision_change,start_recall_change,start_f1_change,start_specificity_change,start_balanced_accuracy_change,mean_abs_start_error_change,point_anomaly_threshold_change,collective_anomaly_threshold_change
1200,mean_shift,60,120.0,60,32,66,206,0.6521739129725899,0.47619047615268334,0.5504587106674523,0.8655462184510274,0.6708683473018554,9.9,validation,default_0.5,0.5,0.5,60,120.0,60,32,66,206,0.6521739129725899,0.47619047615268334,0.5504587106674523,0.8655462184510274,0.6708683473018554,9.9,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,variance_shift,60,120.0,67,27,63,212,0.7127659573709824,0.5153846153449704,0.5982142807900191,0.8870292886658147,0.7012069520053925,14.701492537313433,validation,default_0.5,0.5,0.5,60,120.0,67,27,63,212,0.7127659573709824,0.5153846153449704,0.5982142807900191,0.8870292886658147,0.7012069520053925,14.701492537313433,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,trend_shift,60,120.0,24,52,97,213,0.3157894736426593,0.1983471074216242,0.24365481757118201,0.8037735848753292,0.5010603461484767,29.208333333333332,validation,default_0.5,0.5,0.5,60,120.0,24,52,97,213,0.3157894736426593,0.1983471074216242,0.24365481757118201,0.8037735848753292,0.5010603461484767,29.208333333333332,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,point_anomaly,60,,46,223,3,161,0.17100371746576193,0.9387755100124948,0.289308173475535,0.4192708333224148,0.6790231716674549,0.0,validation,default_0.5,0.5,0.5,60,,37,52,12,240,0.41573033703194046,0.7551020406622241,0.5362318794003362,0.8219178081910302,0.7885099244266272,0.0,tuned,0.9200000000000003,0.9400000000000002,0,,-9,-171,9,79,0.24472661956617853,-0.18367346935027073,0.24692370592480123,0.4026469748686154,0.1094867527591723,0.0,0.42000000000000026,0.44000000000000017
1200,collective_anomaly,60,,96,220,4,163,0.3037974683448165,0.9599999999040001,0.46153845786427516,0.42558746735181235,0.6927937336279062,4.864583333333333,validation,default_0.5,0.5,0.5,60,,93,39,7,205,0.7045454544920798,0.9299999999070001,0.8017241329570453,0.8401639343917965,0.8850819671493984,2.752688172043011,tuned,0.9200000000000003,0.9400000000000002,0,,-3,-181,3,42,0.4007479861472633,-0.029999999996999982,0.3401856750927701,0.41457646703998413,0.19228823352149216,-2.111895161290322,0.42000000000000026,0.44000000000000017
400,mean_shift,20,40.0,18,30,101,210,0.374999999921875,0.15126050418896972,0.21556885815339388,0.8749999999635416,0.5131302520762556,9.833333333333334,ood_params,default_0.5,0.5,0.5,20,40.0,18,30,101,210,0.374999999921875,0.15126050418896972,0.21556885815339388,0.8749999999635416,0.5131302520762556,9.833333333333334,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,variance_shift,20,40.0,17,37,104,210,0.3148148147565158,0.14049586775698383,0.1942857099964083,0.8502024291153764,0.4953491484361801,6.882352941176471,ood_params,default_0.5,0.5,0.5,20,40.0,17,37,104,210,0.3148148147565158,0.14049586775698383,0.1942857099964083,0.8502024291153764,0.4953491484361801,6.882352941176471,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,trend_shift,20,40.0,5,30,116,213,0.14285714281632653,0.04132231404617171,0.06410256061390553,0.8765432098404714,0.45893276194332155,11.0,ood_params,default_0.5,0.5,0.5,20,40.0,5,30,116,213,0.14285714281632653,0.04132231404617171,0.06410256061390553,0.8765432098404714,0.45893276194332155,11.0,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,point_anomaly,20,,5,70,47,218,0.06666666665777779,0.09615384613535503,0.07874015263190558,0.7569444444181617,0.42654914527675836,0.4,ood_params,default_0.5,0.5,0.5,20,,0,15,52,257,0.0,0.0,0.0,0.9448529411417333,0.4724264705708667,,tuned,0.9200000000000003,0.9400000000000002,0,,-5,-55,5,39,-0.06666666665777779,-0.09615384613535503,-0.07874015263190558,0.18790849672357168,0.04587732529410832,,0.42000000000000026,0.44000000000000017
400,collective_anomaly,20,,115,25,13,206,0.8214285713698979,0.8984374999298095,0.8582089501698597,0.8917748917362868,0.8951061958330482,3.0434782608695654,ood_params,default_0.5,0.5,0.5,20,,103,14,25,219,0.8803418802666375,0.8046874999371337,0.8408163214720533,0.939914163049789,0.8723008314934614,3.970873786407767,tuned,0.9200000000000003,0.9400000000000002,0,,-12,-11,12,13,0.058913308896739625,-0.09374999999267575,-0.017392628697806334,0.04813927131350226,-0.022805364339586798,0.9273955255382016,0.42000000000000026,0.44000000000000017
